ID,time,MRGSIM,NONMEM,diff
14,89,9090.9,9090.9,0
14,90,9090.9,9090.9,0
14,91,8604.4,8604.4,0
14,92,8143.9,8143.9,0
14,93,7708.1,7708.1,0
14,94,7295.6,7295.6,0
14,95,6905.2,6905.2,0
14,96,6535.7,6535.7,0
14,97,6185.9,6185.9,0
14,98,5854.9,5854.9,0
14,99,5541.6,5541.6,0
14,100,5245,5245,0
14,101,4964.3,4964.3,0
14,102,4698.6,4698.6,0
14,103,4447.2,4447.2,0
14,104,4209.2,4209.2,0
14,105,3984,3984,0
14,106,3770.8,3770.8,0
14,107,3569,3569,0
14,108,3378,3378,0
14,109,3197.2,3197.2,0
14,110,3026.1,3026.1,0
14,111,2864.2,2864.2,0
14,112,2710.9,2710.9,0
14,113,2565.8,2565.8,0
14,114,2428.5,2428.5,0
14,115,2298.5,2298.5,0
14,116,2175.5,2175.5,0
14,117,2059.1,2059.1,0
14,118,1948.9,1948.9,0
14,119,1844.6,1844.6,0
14,120,1745.9,1745.9,0
14,121,1652.5,1652.5,0
14,122,1564,1564,0
14,123,1480.3,1480.3,0
14,124,1401.1,1401.1,0
14,125,1326.1,1326.1,0
14,126,1255.2,1255.2,0
14,127,1188,1188,0
14,128,1124.4,1124.4,0
14,129,1064.3,1064.3,0
14,130,1007.3,1007.3,0
15,0,935.66,935.66,0
15,0,935.66,935.66,0
15,1,885.59,885.59,0
15,2,838.2,838.2,0
15,3,793.34,793.34,0
15,4,2810.9,2810.9,0
15,5,2660.5,2660.5,0
15,6,2518.1,2518.1,0
15,7,2383.3,2383.3,0
15,8,2255.8,2255.8,0
15,9,2135.1,2135.1,0
15,10,2020.8,2020.8,0
15,11,1912.7,1912.7,0
15,12,1810.3,1810.3,0
15,13,1713.4,1713.4,0
15,14,1621.7,1621.7,0
15,15,1535,1535,0
15,16,1452.8,1452.8,0
15,17,1375.1,1375.1,0
15,18,1301.5,1301.5,0
15,19,1231.8,1231.8,0
15,20,1165.9,1165.9,0
15,21,1103.5,1103.5,0
15,22,1044.5,1044.5,0
15,23,988.57,988.57,0
15,24,935.66,935.66,0
15,25,885.59,885.59,0
15,26,838.2,838.2,0
15,27,793.34,793.34,0
15,28,2810.9,2810.9,0
15,29,2660.5,2660.5,0
15,30,2518.1,2518.1,0
15,31,2383.3,2383.3,0
15,32,2255.8,2255.8,0
15,33,2135.1,2135.1,0
15,34,2020.8,2020.8,0
15,35,1912.7,1912.7,0
15,36,1810.3,1810.3,0
15,37,1713.4,1713.4,0
15,38,1621.7,1621.7,0
15,39,1535,1535,0
15,40,1452.8,1452.8,0
15,41,1375.1,1375.1,0
15,42,1301.5,1301.5,0
15,43,1231.8,1231.8,0
15,44,1165.9,1165.9,0
15,45,1103.5,1103.5,0
15,46,1044.5,1044.5,0
15,47,988.57,988.57,0
15,48,935.66,935.66,0
15,49,885.59,885.59,0
15,50,838.2,838.2,0
15,51,793.34,793.34,0
15,52,2810.9,2810.9,0
15,53,2660.5,2660.5,0
15,54,2518.1,2518.1,0
15,55,2383.3,2383.3,0
15,56,2255.8,2255.8,0
15,57,2135.1,2135.1,0
15,58,2020.8,2020.8,0
15,59,1912.7,1912.7,0
15,60,1810.3,1810.3,0
15,61,1713.4,1713.4,0
15,62,1621.7,1621.7,0
15,63,1535,1535,0
15,64,1452.8,1452.8,0
15,65,1375.1,1375.1,0
